"","title","year","length","rating","votes","budget","budget class"
"12793","Dead Man",1995,120,7.6,10097,9000000,"0-10"
"12795","Dead Man Walking",1995,122,7.6,16177,11000000,"10-20"
"12796","Dead Man on Campus",1998,96,5.4,2829,14000000,"10-20"
"12797","Dead Man's Curve",1998,90,5.7,1241,1000000,"0-10"
"12809","Dead Next Door, The",1988,84,4.8,275,75000,"0-10"
"12817","Dead Poets Society",1989,128,7.7,43294,16400000,"10-20"
"12819","Dead Presidents",1995,119,6.3,2641,15000000,"10-20"
"12821","Dead Ringer",1964,115,6.8,430,1200000,"0-10"
"12828","Dead Soul: A Fairy Tale",2001,30,5,6,8000,"0-10"
"12834","Dead Zone, The",1983,103,7.2,6338,10000000,"10-20"
"12840","Dead of Night",1974,88,6,206,235000,"0-10"
"12855","Deadfall",2000,86,5.4,26,13000,"0-10"
"12873","Deadly Blessing",1981,100,4.5,308,2500000,"0-10"
"12894","Deadly Harvest",1977,87,5,35,250000,"0-10"
"12916","Deadly Stingers",2003,73,5.5,15,150000,"0-10"
"12967","Death 4 Told",2004,96,1.7,45,85000,"0-10"
"12969","Death Becomes Her",1992,99,5.6,9887,55000000,"50-60"
"12970","Death Bed: The Bed That Eats",1977,80,6.1,55,30000,"0-10"
"13000","Death Race 2000",1975,79,5.8,2909,300000,"0-10"
"13024","Death and the Compass",1992,96,6,115,3500000,"0-10"
"13036","Death of Daniel Whately, The",2004,111,6.6,5,5000,"0-10"
"13051","Death to Smoochy",2002,109,6.3,8003,55000000,"50-60"
"13053","Death, Can I Buy You a Drink?",2004,22,8.9,15,50000,"0-10"
"13062","Deathrow Gameshow",1987,83,3.8,57,200000,"0-10"
"13077","Debtors, The",1999,90,6.9,38,14000000,"10-20"
"13090","Decay",1998,80,6.5,8,15000,"0-10"
"13099","Decision",1995,90,8,6,5000,"0-10"
"13109","Decline of Western Civilization Part II: The Metal Years, The",1988,93,6.6,297,500000,"0-10"
"13111","Decline of Western Civilization, The",1981,100,7.3,296,100000,"0-10"
"13114","Deconstructing Harry",1997,96,7.1,7342,20000000,"20-30"
"13117","Decoys",2004,95,4.2,580,5000000,"0-10"
"13124","Deep Blue",2003,91,7.2,363,5000000,"0-10"
"13125","Deep Blue Sea",1999,105,5.5,17666,78000000,"70-80"
"13135","Deep End of the Ocean, The",1999,106,5.9,2890,40000000,"40-50"
"13136","Deep End, The",2001,101,6.8,3524,3000000,"0-10"
"13138","Deep Impact",1998,120,5.9,22684,75000000,"70-80"
"13142","Deep Rising",1998,97,5.4,4626,45000000,"40-50"
"13146","Deep Throat",1972,67,5.1,1097,22000,"0-10"
"13152","Deep, The",1977,123,5.8,1565,9000000,"0-10"
"13155","Deer Hunter, The",1978,183,8.1,28210,15000000,"10-20"
"13162","Defender, The",2004,90,6.3,58,6000000,"0-10"
"13172","Defilers, The",1965,69,4.8,49,11000,"0-10"
"13174","Defining Reason",2003,5,8.3,6,2000,"0-10"
"13187","Delayed",2002,103,2.6,18,20000,"0-10"
"13197","Delicate Delinquent, The",1957,101,5.9,161,460000,"0-10"
"13204","Delinquents, The",1957,72,4.8,33,65000,"0-10"
"13221","Deliverance",1972,109,7.8,14417,2000000,"0-10"
"13222","Delivered",1998,93,5.1,73,1000000,"0-10"
"13230","Dellamorte Dellamore",1994,105,7.3,2313,4000000,"0-10"
"13250","Delusion",1991,88,6,242,1000000,"0-10"
"13257","Dementia 13",1963,75,5.4,641,30000,"0-10"
"13258","Dementia: An Experiment in Terror",2004,85,8.9,10,300000,"0-10"
"13259","Demetrius and the Gladiators",1954,101,6.3,374,4500000,"0-10"
"13262","Demo Crew, The",2001,108,2.5,23,100000,"0-10"
"13272","Demolitionist, The",1995,100,4.1,238,1000000,"0-10"
"13274","Demon Knight",1995,92,6,2215,12000000,"10-20"
"13283","Demoni",1985,88,5.7,1188,1800000,"0-10"
"13289","Demonium",2001,85,3.7,55,2200000,"0-10"
"13308","Denial",1998,93,5.3,285,5000000,"0-10"
"13315","Dentist II, The",1998,100,4.1,401,1800000,"0-10"
"13342","Derailed",2002,89,3.4,1075,18000000,"10-20"
"13345","Deranged",1974,78,6.2,306,200000,"0-10"
"13368","Derniers feux",2004,8,9.7,6,50000,"0-10"
"13371","Dersu Uzala",1975,141,8.1,2565,4000000,"0-10"
"13392","Desecration",1999,88,4.3,97,150000,"0-10"
"13405","Desert Hearts",1985,96,6.4,608,350000,"0-10"
"13427","Deserter, The",2003,75,8,7,35000,"0-10"
"13447","Desire",1936,95,7.2,174,1200000,"0-10"
"13449","Desire",1993,95,4.5,34,1000000,"0-10"
"13464","Desperado",1995,106,6.8,17929,7000000,"0-10"
"13477","Desperate Characters",1971,87,5.6,42,400000,"0-10"
"13479","Desperate Hours, The",1955,112,7.4,1082,2388000,"0-10"
"13481","Desperate Living",1977,90,7.1,598,65000,"0-10"
"13493","Desperately Seeking Susan",1985,104,5.6,4853,4500000,"0-10"
"13510","Destino",2003,7,7.8,156,1500000,"0-10"
"13532","Detail, The",1997,87,3.3,12,200000,"0-10"
"13536","Detective Fiction",2003,102,4.9,41,200000,"0-10"
"13544","Detention",2003,98,4.1,223,10000000,"10-20"
"13548","Deterrence",1999,101,6.6,796,800000,"0-10"
"13555","Detour",1945,67,7.3,1114,30000,"0-10"
"13560","Detroit Rock City",1999,95,6,4607,15000000,"10-20"
"13563","Deuce Bigalow: Male Gigolo",1999,88,5.6,9897,18000000,"10-20"
"13566","Deuces Wild",2002,100,5.3,1511,10000000,"10-20"
"13612","Devil Dogs of the Air",1935,85,5.7,43,350000,"0-10"
"13619","Devil Is a Woman, The",1935,79,7.3,197,800000,"0-10"
"13645","Devil's Advocate, The",1997,144,7,26904,57000000,"50-60"
"13665","Devil's Own, The",1997,111,5.7,8485,80000000,"80-90"
"13670","Devil's Pond",2003,92,5.6,370,5000000,"0-10"
"13728","Diabolik",1968,99,4.7,637,400000,"0-10"
"13741","Dial M for Murder",1954,105,7.8,7989,1400000,"0-10"
"13762","Diamonds Are Forever",1971,120,6.6,8738,7200000,"0-10"
"13787","Diary of a Mad Black Woman",2005,116,3.9,837,5500000,"0-10"
"13806","Dick",1999,94,6.3,5004,13000000,"10-20"
"13810","Dick Tracy",1990,105,5.7,9939,47000000,"40-50"
"13820","Dickie Roberts: Former Child Star",2003,98,5.5,2076,17000000,"10-20"
"13831","Die Another Day",2002,133,6.4,22136,142000000,"140-150"
"13832","Die Hard",1988,131,8,58870,28000000,"20-30"
"13834","Die Hard 2",1990,124,6.7,22987,70000000,"70-80"
"13836","Die Hard: With a Vengeance",1995,131,7,25258,90000000,"90-100"
"13842","Die xue jie tou",1990,126,7.6,1805,3500000,"0-10"
"13857","Different",2004,11,7.5,13,5000,"0-10"
"13858","Different Loyalty, A",2004,96,5,135,13000000,"10-20"
"13869","Digimon: The Movie",2000,82,3.4,455,5000000,"0-10"
"13894","Dilemma",1997,83,3.9,49,2500000,"0-10"
"13897","Dill Scallion",1999,91,5.1,136,500000,"0-10"
"13898","Dillinger",1945,70,6.3,99,193000,"0-10"
"13909","Dimensia Minds Trilogy: The Reds",2004,8,9.9,15,1200,"0-10"
"13918","Diner",1982,110,7.2,3250,5000000,"0-10"
"13923","Ding-a-ling-Less",2001,81,8.1,22,1000000,"0-10"
"13933","Dinner at Eight",1933,113,7.6,1031,435000,"0-10"
"13941","Dinosaur",2000,82,6.3,5839,127500000,"120-130"
"13947","Dinosaurus!",1960,85,4,119,450000,"0-10"
"13956","Diplomat, The",2002,29,9,11,77000,"0-10"
"13959","Diplomatic Siege",1999,96,3.5,340,45000000,"40-50"
"13965","Direct Order",2003,55,5.8,6,500000,"0-10"
"13972","Dirigible",1931,100,5.9,48,650000,"0-10"
"13985","Dirty Dancing",1987,100,5.9,14407,6000000,"0-10"
"13990","Dirty Diamonds",2002,10,9.1,12,0,"0-10"
"14006","Dirty Pretty Things",2002,97,7.6,6274,10000000,"10-20"
"14018","Dirty Work",1998,82,5.9,4252,13000000,"10-20"
"14020","Disappearance of Andy Waxman, The",2004,25,8.8,5,30000,"0-10"
"14027","Disc",2003,105,7.5,10,2000,"0-10"
"14030","Disciple, The",1915,50,7.6,7,8000,"0-10"
"14086","Disturbing Behavior",1998,84,5.1,4620,15000000,"10-20"
"14114","Divine Reality",2001,100,7.1,8,3000,"0-10"
"14116","Divine Secrets of the Ya-Ya Sisterhood",2002,116,5.5,4288,27000000,"20-30"
"14130","Divorce: The Musical",2002,86,3.4,8,1500000,"0-10"
"14131","Divorcee, The",1930,82,6.7,184,340691,"0-10"
"14192","Do the Right Thing",1989,120,7.7,9324,6500000,"0-10"
"14226","Doctor Dolittle",1967,145,5.8,1069,18000000,"10-20"
"14227","Doctor Dolittle",1998,85,5.4,8287,71500000,"70-80"
"14234","Doctor Sleep",2002,108,6.2,609,10000000,"10-20"
"14238","Doctor Zhivago",1965,200,7.9,10283,11000000,"10-20"
"14260","Dodgeball: A True Underdog Story",2004,92,6.6,14584,20000000,"20-30"
"14300","Dog of Flanders, A",1999,100,6,179,7000000,"0-10"
"14309","Dogma",1999,130,7.3,43391,10000000,"10-20"
"14348","Doki-Doki",2003,34,7.6,38,5000,"0-10"
"14394","Dom durakov",2002,104,6.8,382,2500000,"0-10"
"14408","Domestic Disturbance",2001,91,5.4,4445,53000000,"50-60"
"14423","Dominion",1995,95,5,85,1300000,"0-10"
"14437","Don Giovanni",1979,184,7.2,130,7000000,"0-10"
"14442","Don Juan DeMarco",1995,97,6.5,6857,25000000,"20-30"
"14470","Don't Call Me Frankie",1993,70,9.1,7,40000,"0-10"
"14489","Don't Look Back!",2003,89,1.3,10,2300000,"0-10"
"14501","Don't Say a Word",2001,113,6.2,10098,50000000,"50-60"
"14548","Donde acaban los caminos",2004,82,8,5,500000,"0-10"
"14554","Dong er shi er tiao",1997,14,3.7,10,2000,"0-10"
"14578","Donnie Brasco",1997,127,7.6,20029,35000000,"30-40"
"14579","Donnie Darko",2001,133,8.3,51961,4500000,"0-10"
"14585","Donovan's Reef",1963,109,6.5,1062,2686585,"0-10"
"14598","Doomed to Failure",2004,7,7.8,9,1000,"0-10"
"14608","Door-to-Door Maniac",1961,80,4.3,21,100000,"0-10"
"14609","Doors, The",1991,140,6.7,10363,38000000,"30-40"
"14617","Doppelganger",1993,104,4.1,481,3000000,"0-10"
"14625","Dorm That Dripped Blood, The",1981,84,2.5,101,90000,"0-10"
"14635","Dorothy Vernon of Haddon Hall",1924,135,7.2,7,750000,"0-10"
"14638","Dos Blokes",2005,4,4.3,14,0,"0-10"
"14664","Dot.Kill",2004,87,5,36,6000000,"0-10"
"14696","Double Impact",1991,109,4.5,2749,16000000,"10-20"
"14697","Double Indemnity",1944,110,8.5,11592,927262,"0-10"
"14699","Double Jeopardy",1999,105,5.9,13587,40000000,"40-50"
"14709","Double Take",2001,91,4.8,1503,24000000,"20-30"
"14711","Double Tap",1997,87,5.3,184,8000000,"0-10"
"14717","Double Whammy",2001,100,5.6,886,4000000,"0-10"
"14731","Doug's 1st Movie",1999,77,4.5,290,5000000,"0-10"
"14755","Down",2001,110,4.5,637,15000000,"10-20"
"14772","Down Time",2001,90,3.5,55,20000,"0-10"
"14778","Down and Out with the Dolls",2001,88,6,37,1200000,"0-10"
"14780","Down by Law",1986,107,7.6,4449,1100000,"0-10"
"14785","Down to Earth",2001,87,5.1,3720,30000000,"30-40"
"14788","Down to You",2000,91,4.7,3232,9000000,"0-10"
"14799","Downtime",1985,62,5.6,8,16000,"0-10"
"14809","Dr T and the Women",2000,122,4.8,4776,12000000,"10-20"
"14821","Dr. Dolittle 2",2001,87,5.1,4920,72000000,"70-80"
"14831","Dr. Jekyll and Mr. Hyde",1931,96,7.6,1018,1140000,"0-10"
"14835","Dr. Jekyll and Ms. Hyde",1995,90,4.2,573,8000000,"0-10"
"14848","Dr. Monica",1934,53,5.4,26,167000,"0-10"
"14850","Dr. No",1962,110,7.2,11864,1100000,"0-10"
"14853","Dr. Phibes Rises Again",1972,89,6.3,663,75000,"0-10"
"14858","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,8.7,63471,1800000,"0-10"
"14866","Dracula",1992,128,7.1,19972,40000000,"40-50"
"14868","Dracula 2000",2000,99,4.9,5364,28000000,"20-30"
"14889","Drag",1993,40,7.8,5,25000,"0-10"
"14890","Drag Queen Heist",2004,20,8.6,7,5000,"0-10"
"14894","Dragnet",1954,88,6.3,115,500000,"0-10"
"14907","Dragon: The Bruce Lee Story",1993,119,6.7,3244,14000000,"10-20"
"14912","Dragonfly",2002,104,5.8,5431,60000000,"60-70"
"14915","Dragonslayer",1981,109,6.4,1965,18000000,"10-20"
"14918","Dragonwyck",1946,103,6.7,222,1900000,"0-10"
"14920","Dragstrip Girl",1957,69,4.7,14,100000,"0-10"
"14930","Draw the Pirate",2004,7,8.5,5,50000,"0-10"
"14960","Dream on Silly Dreamer",2005,40,7.7,13,65000,"0-10"
"14961","Dream with the Fishes",1997,97,6.5,647,1000000,"0-10"
"14964","Dream-Quest of Unknown Kadath, The",2003,100,7.6,30,5000,"0-10"
"14965","Dreamaniac",1986,82,4.3,36,60000,"0-10"
"14967","Dreamcatcher",2003,134,5.2,10403,68000000,"60-70"
"14970","Dreamer: The Movie",2004,93,9,7,23500,"0-10"
"15002","Dress, The",1984,30,8.4,9,80000,"0-10"
"15006","Dressed to Kill",1980,104,6.9,3481,6500000,"0-10"
"15019","Drifting",2004,21,9.9,41,3000,"0-10"
"15022","Driftwood",2003,20,4.1,13,5000,"0-10"
"15023","Driller Killer, The",1979,96,4.4,593,20000,"0-10"
"15032","Drive",1997,117,6.4,1086,3500000,"0-10"
"15035","Drive Me Crazy",1999,91,5.1,2934,8000000,"0-10"
"15043","Drive-in Movie Memories",2001,57,8.3,6,225000,"0-10"
"15045","Driven",2001,116,4.4,7129,72000000,"70-80"
"15052","Driving Miss Daisy",1989,99,7.4,8656,7500000,"0-10"
"15062","Drop Back Ten",2000,93,4.8,30,600000,"0-10"
"15067","Drop Squad",1994,86,3.9,150,2000000,"0-10"
"15068","Drop Zone",1994,101,5.5,3104,45000000,"40-50"
"15072","Drowning",2001,7,5,11,0,"0-10"
"15074","Drowning Mona",2000,95,5.4,3454,16000000,"10-20"
"15089","Drugstore Cowboy",1989,100,7.4,4999,2500000,"0-10"
"15091","Drum",2004,94,4,32,3600,"0-10"
"15094","Drumline",2002,118,5.3,7368,20000000,"20-30"
"15119","Du Barry Was a Lady",1943,101,6.1,123,1239222,"0-10"
"15158","Duck, Duck, Goose!",2005,21,8.8,16,20000,"0-10"
"15170","Dude, Where's My Car?",2000,83,4.6,13330,13000000,"10-20"
"15172","Dudley Do-Right",1999,77,3.6,1790,22000000,"20-30"
"15193","Due occhi diabolici",1990,120,5.3,529,9000000,"0-10"
"15205","Duel at Apache Wells",1957,69,5.6,12,150000,"0-10"
"15209","Duel in the Sun",1946,144,7,866,8000000,"0-10"
"15212","Duellists, The",1977,95,7.4,1929,900000,"0-10"
"15216","Duets",2000,112,5.8,2414,15000000,"10-20"
"15235","Dumb & Dumber",1994,101,6.6,27713,16000000,"10-20"
"15239","Dumb and Dumberer: When Harry Met Lloyd",2003,85,3.3,4689,19000000,"10-20"
"15242","Dumbo",1941,64,7.4,6828,950000,"0-10"
"15249","Dune",1984,190,6.3,16903,45000000,"40-50"
"15258","Dungeons & Dragons",2000,107,4,7435,35000000,"30-40"
"15267","Duplex",2003,89,5.7,4334,40000000,"40-50"
"15291","Dusting Cliff 7",1996,95,3.5,80,1300000,"0-10"
"15325","Dying Gaul, The",2005,101,4.3,70,4000000,"0-10"
"15346","DysFunktional Family",2003,89,5.6,207,3000000,"0-10"
"15366","E-mail",2000,109,4.1,33,1000000,"0-10"
"15367","E.T. the Extra-Terrestrial",1982,120,7.8,44175,10500000,"10-20"
"15377","Eagle Has Landed, The",1976,131,6.7,2001,6000000,"0-10"
"15388","Earl's Your Uncle",2004,19,9.1,28,10000,"0-10"
"15402","Earth Girls Are Easy",1988,100,5,3952,10000000,"10-20"
"15409","Earthquake",1974,140,5.2,2106,7000000,"0-10"
"15426","East of Hope Street",1998,88,5.6,14,100000,"0-10"
"15432","Easter Parade",1948,107,7.4,1093,2503654,"0-10"
"15449","Easy Rider",1969,94,7.2,10230,340000,"0-10"
"15461","Eat My Dust!",1976,89,4.5,95,300000,"0-10"
"15474","Eating",2005,13,9.1,7,60000,"0-10"
"15478","Eating Out",2004,90,6.8,182,50000,"0-10"
"15479","Eating Raoul",1982,87,6.4,1351,350000,"0-10"
"15486","Eban and Charley",2000,86,4.5,110,30000,"0-10"
"15519","Ed Mort",1997,102,6.8,70,1500000,"0-10"
"15520","Ed Wood",1994,127,8,22612,18000000,"10-20"
"15521","Ed and His Dead Mother",1993,86,5.3,413,1800000,"0-10"
"15524","Eddie",1996,100,4.9,1348,30000000,"30-40"
"15540","Edge of Eternity",1959,80,5.8,44,700000,"0-10"
"15550","Edgeplay",2004,110,7.2,17,80000,"0-10"
"15551","Edges of the Lord",2001,95,7,639,7500000,"0-10"
"15559","Edmund",2004,18,8.7,7,10000,"0-10"
"15563","Edtv",1999,122,6.2,10085,60000000,"60-70"
"15573","Edward Scissorhands",1990,105,7.7,27017,20000000,"20-30"
"15576","Eegah",1962,90,1.9,1314,15000,"0-10"
"15603","Egyptian, The",1954,139,5.7,376,5000000,"0-10"
"15605","Ehad Mishelanu",1989,110,7.1,30,500000,"0-10"
"15623","Eight Legged Freaks",2002,99,5.5,6362,30000000,"30-40"
"15624","Eight Men Out",1988,119,7.3,3689,6000000,"0-10"
"15629","Eighteenth Angel, The",1998,95,4.6,557,25000000,"20-30"
"15671","El Cid",1961,182,7.1,1458,6250000,"0-10"
"15689","Election",1999,103,7.4,17521,8500000,"0-10"
"15704","Elegante, El",2003,17,8.6,7,2500,"0-10"
"15706","Elektra",2005,96,4.9,5120,43000000,"40-50"
"15711","Elephant",2003,81,7.3,9203,3000000,"0-10"
"15716","Elephant Man, The",1980,124,8.2,16422,5000000,"0-10"
"15721","Elephant's Egg, The",2004,15,4.6,12,30000,"0-10"
"15724","Elevator Movie",2004,95,6.1,13,25000,"0-10"
"15727","Elf",2003,95,7,10165,33000000,"30-40"
"15744","Elizabeth",1998,124,7.6,14733,25000000,"20-30"
"15747","Ella Enchanted",2004,96,6.5,2502,35000000,"30-40"
"15763","Elliot Flies",2003,13,4.9,12,1000,"0-10"
"15768","Elmer Gantry",1960,146,7.8,1771,3000000,"0-10"
"15782","Elvira's Haunted Hills",2001,90,5.2,307,1500000,"0-10"
"15783","Elvira, Mistress of the Dark",1988,96,5.3,1238,20000000,"20-30"
"15811","Embalmer, The",1996,85,1.4,22,50000,"0-10"
"15815","Embrace of the Vampire",1994,93,4.2,1551,800000,"0-10"
"15846","Emma",1996,121,6.9,6431,6000000,"0-10"
"15873","Emmett's Mark",2002,104,6.2,427,4500000,"0-10"
"15876","Emperor Jones, The",1933,80,6.1,98,250000,"0-10"
"15877","Emperor Waltz, The",1948,110,6.1,151,4070248,"0-10"
"15882","Emperor's Club, The",2002,109,6.7,3056,12500000,"10-20"
"15884","Emperor's New Groove, The",2000,78,7.4,8532,100000000,"100-110"
"15887","Empire",2002,90,6,1718,3500000,"0-10"
"15896","Empire of the Sun",1987,154,7.5,9963,38000000,"30-40"
"15900","Employees' Entrance",1933,75,7.2,106,188000,"0-10"
"15906","Empty Building, The",2004,40,9.5,11,170000,"0-10"
"15931","En la puta vida",2001,103,6.9,117,1500000,"0-10"
"15986","End of Days",1999,121,5.3,18237,83000000,"80-90"
"15988","End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",2004,78,7.6,42,60000,"0-10"
"15989","End of Violence, The",1997,122,5.4,1575,5000000,"0-10"
"15991","End of the Affair, The",1999,102,7,4808,23000000,"20-30"
"16034","Enemy at the Gates",2001,131,7.3,19169,70000000,"70-80"
"16038","Enemy of the State",1998,131,7.1,23263,90000000,"90-100"
"16039","Enemy, The",2003,34,8.2,147,250000,"0-10"
"16081","English Patient, The",1996,160,7.1,25210,27000000,"20-30"
"16101","Enough",2002,115,4.9,4339,38000000,"30-40"
"16103","Enraged New World, An",2002,50,8.9,25,3500,"0-10"
"16122","Enter the Dragon",1973,99,7.4,8078,850000,"0-10"
"16135","Entrapment",1999,113,6.1,18543,66000000,"60-70"
"16158","Envy",2004,99,4.3,3417,40000000,"40-50"
"16168","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The",2003,27,9.5,6,6000,"0-10"
"16174","Epiphany: Il inferno",2002,16,8.8,6,10000,"0-10"
"16182","Equilibrium",2002,107,7.6,17579,20000000,"20-30"
"16191","Era of Vampire, The",2002,90,4.2,329,1000000,"0-10"
"16194","Eraser",1996,115,5.8,14641,100000000,"100-110"
"16195","Eraserhead",1977,89,7.1,7207,10000,"0-10"
"16216","Erin Brockovich",2000,130,7.3,24301,51000000,"50-60"
"16227","Ernest Goes to Camp",1987,92,4.4,1562,3000000,"0-10"
"16230","Ernest Rides Again",1993,96,3.6,250,7000000,"0-10"
"16231","Ernest Saves Christmas",1988,95,4.6,1125,6000000,"0-10"
"16253","Erotic Adventures of Zorro, The",1972,102,4.2,32,75000,"0-10"
"16261","Erotica",1961,68,1.6,18,4000,"0-10"
"16270","Err On the Side of Caution",1997,94,6,5,500000,"0-10"
"16302","Escanaba in da Moonlight",2001,91,5.5,373,1000000,"0-10"
"16317","Escape from Chernobourg",1999,75,3.7,18,2000,"0-10"
"16322","Escape from L.A.",1996,101,4.8,7955,50000000,"50-60"
"16323","Escape from New York",1981,99,6.8,9924,6000000,"0-10"
"16327","Escape from the Planet of the Apes",1971,98,5.8,2951,2500000,"0-10"
"16357","Eskimo",1933,117,7,30,950000,"0-10"
"16371","Espera, La",2002,72,8.8,15,100000,"0-10"
"16373","Espinazo del diablo, El",2001,108,7.4,3474,4500000,"0-10"
"16421","Eternal Embrace",2000,47,9.6,5,96000,"0-10"
"16424","Eternal Sunshine of the Spotless Mind",2004,108,8.6,46240,20000000,"20-30"
"16448","Eulogy",2004,91,6.5,773,10000000,"10-20"
"16454","EuroTrip",2004,90,6.1,8390,25000000,"20-30"
"16483","Eve's Bayou",1997,109,7.2,2302,5000000,"0-10"
"16485","Evelyn",2002,94,7.1,1163,10000000,"10-20"
"16488","Even Cowgirls Get the Blues",1993,99,4,1609,8000000,"0-10"
"16490","EvenHand",2002,92,7.3,169,500000,"0-10"
"16495","Event Horizon",1997,96,5.7,15510,70000000,"70-80"
"16500","Ever After",1998,121,7,10250,26000000,"20-30"
"16503","Ever in My Heart",1933,68,5.7,35,243000,"0-10"
"16505","Evergon",2002,32,7.1,22,20000,"0-10"
"16508","Everlasting Piece, An",2000,103,6.1,475,14000000,"10-20"
"16525","Every Little Girl's Dream",2002,16,7.3,7,27000,"0-10"
"16543","Everyone Says I Love You",1996,101,6.9,7314,20000000,"20-30"
"16549","Everything Is Everything",2003,87,8.3,15,10000,"0-10"
"16552","Everything Put Together",2000,87,7.1,151,500000,"0-10"
"16554","Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,87,6.7,4671,2000000,"0-10"
"16556","Everything in This Country Must",2004,20,7.1,7,250000,"0-10"
"16558","Everything's Gone Green",2005,19,9,11,30000,"0-10"
"16559","Everything's Jake",2000,92,6.7,12,900000,"0-10"
"16567","Evil Alien Conquerors",2002,89,3.8,111,500000,"0-10"
"16573","Evil Cult",2003,90,6.7,17,15000,"0-10"
"16574","Evil Dead II",1987,85,7.6,15743,3500000,"0-10"
"16575","Evil Dead, The",1981,86,7.4,14407,350000,"0-10"
"16600","Evita",1996,134,6.2,8371,55000000,"50-60"
"16603","Evolution",2001,101,5.8,14232,80000000,"80-90"
"16616","Ex-Lady",1933,67,6.4,136,93000,"0-10"
"16629","Excessive Force",1993,90,4.2,214,13000000,"10-20"
"16643","Executive Decision",1996,134,6.3,7653,55000000,"50-60"
"16665","Exit Wounds",2001,101,5.3,5370,33000000,"30-40"
"16672","Exodus",1960,208,6.8,1161,4000000,"0-10"
"16676","Exorcist II: The Heretic",1977,118,3.5,3009,14000000,"10-20"
"16678","Exorcist, The",1973,132,7.9,34162,1000000,"0-10"
"16679","Exorcist: The Beginning",2004,114,5,4130,30000000,"30-40"
"16704","Expiration",2003,102,6.6,206,50000,"0-10"
"16710","Explosion",1969,98,4.9,5,500000,"0-10"
